Title,Link,Authors,Year,Cited,
Hubungan antara penggunaan kosmetik wajah terhadap kejadian akne vulgaris pada mahasiswi Fakultas Kedokteran Universitas Lampung,https://scholar.google.com/scholar?q=+intitle:'Hubungan antara penggunaan kosmetik wajah terhadap kejadian akne vulgaris pada mahasiswi Fakultas Kedokteran Universitas Lampung',"Authors : R Andriana, A Effendi, KN Berawi",2014,23 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
PENGARUH PEMBERIAN EKSTRAK ETANOL KULIT PISANG AMBON (Musa paradisiaca) TERHADAP KADAR GLUKOSA PADA TIKUS PUTIH GALUR (Sprague dawley) YANG DIINDUKSI ALOKSAN,https://scholar.google.com/scholar?q=+intitle:'PENGARUH PEMBERIAN EKSTRAK ETANOL KULIT PISANG AMBON (Musa paradisiaca) TERHADAP KADAR GLUKOSA PADA TIKUS PUTIH GALUR (Sprague dawley) YANG DIINDUKSI ALOKSAN',"Authors : NI BP, K Berawi, S Rachmanisa",2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
PENGARUH PEMBERIAN EKSTRAK ETANOL KULIT PISANG AMBON (Musa paradisiaca) TERHADAP KADAR GLUKOSA PADA TIKUS PUTIH GALUR (Sprague dawley) YANG DIINDUKSI ALOKSAN THE EFFECT OF THE …,https://scholar.google.com/scholar?q=+intitle:'PENGARUH PEMBERIAN EKSTRAK ETANOL KULIT PISANG AMBON (Musa paradisiaca) TERHADAP KADAR GLUKOSA PADA TIKUS PUTIH GALUR (Sprague dawley) YANG DIINDUKSI ALOKSAN THE EFFECT OF THE …',Authors : NIB Perkasa,2014,1 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
DIFFERENCES IN LUNG VITAL CAPACITY AND FORCED EXPIRATORY VOLUME IN ONE SECOND BETWEEN STUDENTS ON THE BASKETBALL TEAM AND STUDENTS WHO ARE NOT MEMBERS OF THE BASKETBALL TEAM …,https://scholar.google.com/scholar?q=+intitle:'DIFFERENCES IN LUNG VITAL CAPACITY AND FORCED EXPIRATORY VOLUME IN ONE SECOND BETWEEN STUDENTS ON THE BASKETBALL TEAM AND STUDENTS WHO ARE NOT MEMBERS OF THE BASKETBALL TEAM …',"Authors : R Patriana, NB Khairun, TU Sholeha",2014,0 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Drug Prescribing Pattern In The Early Management Of Rheumatoid Arthritis Patient In A Hospital In Bandar Lampung Period July 2012 Until June 2013,https://scholar.google.com/scholar?q=+intitle:'Drug Prescribing Pattern In The Early Management Of Rheumatoid Arthritis Patient In A Hospital In Bandar Lampung Period July 2012 Until June 2013',"Authors : M Hasanah, N Carolia, KN Berawi, T Soleha",2014,2 cited,Good Health and Well-being (Kehidupan Sehat dan Sejahtera)
Peningkatan Hasil Belajar Siswa Dengan Menggunakan Metode Quantum Teaching Dalam Pembelajaran IPS Di Kelas V SDN 02 Simpang Tanjung Nan IV Kecamatan Danau Kembar Kabupaten Solok,https://scholar.google.com/scholar?q=+intitle:'Peningkatan Hasil Belajar Siswa Dengan Menggunakan Metode Quantum Teaching Dalam Pembelajaran IPS Di Kelas V SDN 02 Simpang Tanjung Nan IV Kecamatan Danau Kembar Kabupaten Solok',Authors : W Febriani,2014,0 cited,Quality Education (Pendidikan Berkualitas)
The taxonomy of Sakura as a life portrait of Liwa people,https://scholar.google.com/scholar?q=+intitle:'The taxonomy of Sakura as a life portrait of Liwa people',Authors : IW Mustika,2014,8 cited,No Poverty (Tanpa Kelaparan)
,,,,,Life on Land (Ekosistem Daratan)
PENGEMBANGAN SISTEM PENYEBARAN WIRELESS SENSOR NETWORK PADA RUANG BERPENGHALANG BERDASARKAN ALGORITMA PARTICLE SWARM OPTIMIZATION,https://scholar.google.com/scholar?q=+intitle:'PENGEMBANGAN SISTEM PENYEBARAN WIRELESS SENSOR NETWORK PADA RUANG BERPENGHALANG BERDASARKAN ALGORITMA PARTICLE SWARM OPTIMIZATION',"Authors : M Masjudin, IW Mustika, W Widyawan",2014,0 cited,"Industry, Inovation, and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Implementasi Teknologi Wireless Sensor Network Untuk Mengurangi Antrian Kasir,https://scholar.google.com/scholar?q=+intitle:'Implementasi Teknologi Wireless Sensor Network Untuk Mengurangi Antrian Kasir',"Authors : AM Hidayat, IW Mustika, S Selo",2014,0 cited,"Industry, Inovation, and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
PEMBELAJARAN TARI BEDANA DENGAN MENGGUNAKAN METODE DEMONSTRASI DI MTsN 2 BANDAR LAMPUNG,https://scholar.google.com/scholar?q=+intitle:'PEMBELAJARAN TARI BEDANA DENGAN MENGGUNAKAN METODE DEMONSTRASI DI MTsN 2 BANDAR LAMPUNG',Authors : RTA Wulandari,2014,0 cited,Quality Education (Pendidikan Berkualitas)
PEMBELAJARANTARI MULI SIGER MENGGUNAKAN METODE DRILLDI SMPN 1 JATI AGUNG,https://scholar.google.com/scholar?q=+intitle:'PEMBELAJARANTARI MULI SIGER MENGGUNAKAN METODE DRILLDI SMPN 1 JATI AGUNG',"Authors : R Astari, A Kurniawan, IW Mustika",2014,0 cited,Quality Education (Pendidikan Berkualitas)
PENERAPAN MEDIA AUDIO VISUAL PEMBELAJARAN TARI SIGEH PENGUTEN SMP NEGERI 1 BATANGHARI,https://scholar.google.com/scholar?q=+intitle:'PENERAPAN MEDIA AUDIO VISUAL PEMBELAJARAN TARI SIGEH PENGUTEN SMP NEGERI 1 BATANGHARI',"Authors : GG Nawangsasi, IW Mustika, S Wendhaningsih",2014,0 cited,Quality Education (Pendidikan Berkualitas)
PEMBELAJARAN TARI HALIBAMBANG DENGAN MENGGUNAKAN METODE LATIHAN DI SMPN 13 BANDAR LAMPUNG,https://scholar.google.com/scholar?q=+intitle:'PEMBELAJARAN TARI HALIBAMBANG DENGAN MENGGUNAKAN METODE LATIHAN DI SMPN 13 BANDAR LAMPUNG',"Authors : AP Putri, A Kurniawan, IW Mustika",2014,0 cited,Quality Education (Pendidikan Berkualitas)
Pembelajaran Gerak Tari Dan Lagu Menggunakan Metode Demonstrasi di TK Kartika II-31,https://scholar.google.com/scholar?q=+intitle:'Pembelajaran Gerak Tari Dan Lagu Menggunakan Metode Demonstrasi di TK Kartika II-31',"Authors : S Anisa, H Hasyimkan, IW Mustika",2014,2 cited,Quality Education (Pendidikan Berkualitas)
PEMBELAJARAN TARI BEDANA MENGGUNAKAN METODE PEMODELAN DI SMP NEGERI 1 SUMBERJAYA,https://scholar.google.com/scholar?q=+intitle:'PEMBELAJARAN TARI BEDANA MENGGUNAKAN METODE PEMODELAN DI SMP NEGERI 1 SUMBERJAYA',"Authors : A Vasthi, A Kurniawan, IW Mustika",2014,0 cited,Quality Education (Pendidikan Berkualitas)
Pembelajaran tari Bedana melalui media audio visual di SMA Negeri 4 Metro,https://scholar.google.com/scholar?q=+intitle:'Pembelajaran tari Bedana melalui media audio visual di SMA Negeri 4 Metro',"Authors : M Zulkarnain, S Wendhaningsih, IW Mustika",2014,1 cited,Quality Education (Pendidikan Berkualitas)
THE IMPLEMENTATION OF TIME TOKEN METHOD TO IMPROVE STUDENTS’SPEAKING ABILITY AT THE EIGHTH GRADE STUDENTS OF SMP NEGERI 1 PURWANTORO IN 2013/2014 ACADEMIC YEAR,https://scholar.google.com/scholar?q=+intitle:'THE IMPLEMENTATION OF TIME TOKEN METHOD TO IMPROVE STUDENTS’SPEAKING ABILITY AT THE EIGHTH GRADE STUDENTS OF SMP NEGERI 1 PURWANTORO IN 2013/2014 ACADEMIC YEAR',Authors : I MUSTIKA,2014,0 cited,Quality Education (Pendidikan Berkualitas)
ALGORITME PARTICLE SWARM OPTIMIZATION UNTUK PERANCANGAN PENYEBARAN (DEPLOYMENT) JARINGAN SENSOR NIRKABEL DENGAN MEMPERHITUNGKAN POSISI PENGHALANG DAN REDAMAN,https://scholar.google.com/scholar?q=+intitle:'ALGORITME PARTICLE SWARM OPTIMIZATION UNTUK PERANCANGAN PENYEBARAN (DEPLOYMENT) JARINGAN SENSOR NIRKABEL DENGAN MEMPERHITUNGKAN POSISI PENGHALANG DAN REDAMAN',Authors : IW Mustika,2014,0 cited,"Industry, Inovation, and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Simulasi Teknik Pengkodean Suara Celp (Codebook Excited Linear Prediction) Pada Suara Lumba-Lumba,https://scholar.google.com/scholar?q=+intitle:'Simulasi Teknik Pengkodean Suara Celp (Codebook Excited Linear Prediction) Pada Suara Lumba-Lumba',"Authors : SP Panangian, U Murdika",2014,1 cited,"Industry, Inovation, and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Individuality of dopants in silicon nano-pn junctions,https://scholar.google.com/scholar?q=+intitle:'Individuality of dopants in silicon nano-pn junctions',"Authors : D Moraru, S Purwiyanti, R Nowak, T Mizuno, A Udhiarto, D Hartanto, ...",2014,2 cited,"Industry, Inovation, and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Observation of Tunneling Effects in Lateral Nanowire pn Junctions,https://scholar.google.com/scholar?q=+intitle:'Observation of Tunneling Effects in Lateral Nanowire pn Junctions',"Authors : S Purwiyanti, A Udhiarto, D Moraru, T Mizuno, D Hartanto, M Tabe",2014,0 cited,"Industry, Inovation, and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Penentuan Letak Dearu pada Citra Berderau Salt And Pepper Berdasarkan Sifat Ketetanggan Piksel,https://scholar.google.com/scholar?q=+intitle:'Penentuan Letak Dearu pada Citra Berderau Salt And Pepper Berdasarkan Sifat Ketetanggan Piksel',"Authors : S Purwiyanti, FXA Styawan",2014,1 cited,"Industry, Inovation, and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Study of quantized-energy effects in Si nanoscale lateral pn junction diodes,https://scholar.google.com/scholar?q=+intitle:'Study of quantized-energy effects in Si nanoscale lateral pn junction diodes',"Authors : S Purwiyanti, HN Tan, D Moraru, LT Anh, M Manoharan, T Mizuno, ...",2014,0 cited,"Industry, Inovation, and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Effects of individual dopants in nanoscale Si pn junctions,https://scholar.google.com/scholar?q=+intitle:'Effects of individual dopants in nanoscale Si pn junctions',Authors : SP Surya,2014,0 cited,"Industry, Inovation, and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Penentuan Letak Derau pada Citra Berderau Salt And Pepper Berdasarkan Sifat Ketetanggan Piksel,https://scholar.google.com/scholar?q=+intitle:'Penentuan Letak Derau pada Citra Berderau Salt And Pepper Berdasarkan Sifat Ketetanggan Piksel',"Authors : S Purwiyanti, FXA Setyawan",2014,1 cited,"Industry, Inovation, and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Silicio nano-pn sandūru {ogonek} legirantu {ogonek} savitumai,https://scholar.google.com/scholar?q=+intitle:'Silicio nano-pn sandūru {ogonek} legirantu {ogonek} savitumai',"Authors : D Moraru, S Purwiyanti, R Nowak, T Mizuno, A Udhiarto, D Hartanto, ...",2014,0 cited,"Industry, Inovation, and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Interband Tunneling through Individual Dopants in Nanoscale pn Junctions,https://scholar.google.com/scholar?q=+intitle:'Interband Tunneling through Individual Dopants in Nanoscale pn Junctions',"Authors : NT Hoang, P Sri, D Moraru, A Le, M Manoharan, T Mizuno, H Mizuta, ...",2014,0 cited,"Industry, Inovation, and Infrastructure (Industri, Inovasi, dan Infrastruktur)"
Meningkatkan Kemampuan Interaksi Sosial Siswa dengan Menggunakan assertive training,https://scholar.google.com/scholar?q=+intitle:'Meningkatkan Kemampuan Interaksi Sosial Siswa dengan Menggunakan assertive training',"Authors : N Indriyani, S Latif, RR Zulkifli",2014,1 cited,Quality Education (Pendidikan Berkualitas)
Meningkatkan Konsep Diri Positif Siswa Dengan Menggunakan Layanan Bimbingan Kelompok,https://scholar.google.com/scholar?q=+intitle:'Meningkatkan Konsep Diri Positif Siswa Dengan Menggunakan Layanan Bimbingan Kelompok',"Authors : N Ardiyanta, S Latif, RR Zulkifli",2014,1 cited,Quality Education (Pendidikan Berkualitas)
Penggunaan konseling kelompok untuk meningkatkan konsep diri pada siswa kelas XI SMK,https://scholar.google.com/scholar?q=+intitle:'Penggunaan konseling kelompok untuk meningkatkan konsep diri pada siswa kelas XI SMK',"Authors : E Roza, M Rosra, RR Zulkifli",2014,1 cited,Quality Education (Pendidikan Berkualitas)
